GEO_ID,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008
Geography,Geographic Area Name,Total,Total!!White alone,Total!!Black or African American alone,Total!!American Indian and Alaska Native alone,Total!!Asian alone,Total!!Native Hawaiian and Other Pacific Islander alone,Total!!Some Other Race alone,Total!!Two or More Races
1400000US06085507808,"Census Tract 5078.08, Santa Clara County, California",5508,1285,22,5,4000,2,36,158
1400000US06085507903,"Census Tract 5079.03, Santa Clara County, California",4828,1200,18,3,3468,3,26,110
1400000US06085507904,"Census Tract 5079.04, Santa Clara County, California",3367,1096,17,3,2139,6,18,88
1400000US06085507905,"Census Tract 5079.05, Santa Clara County, California",5784,1314,40,18,4161,6,86,159
1400000US06085507906,"Census Tract 5079.06, Santa Clara County, California",4460,1194,7,4,3118,2,17,118
1400000US06085508001,"Census Tract 5080.01, Santa Clara County, California",7377,2250,56,10,4687,12,79,283
1400000US06085508003,"Census Tract 5080.03, Santa Clara County, California",2222,804,33,8,1206,5,70,96
1400000US06085508004,"Census Tract 5080.04, Santa Clara County, California",6090,2024,77,13,3574,5,117,280
1400000US06085508101,"Census Tract 5081.01, Santa Clara County, California",6740,1947,41,11,4484,1,64,192
1400000US06085508102,"Census Tract 5081.02, Santa Clara County, California",3321,1075,27,1,2065,1,34,118
1400000US06085508202,"Census Tract 5082.02, Santa Clara County, California",7684,3691,98,33,3142,24,353,343
1400000US06085508203,"Census Tract 5082.03, Santa Clara County, California",5172,2335,55,5,2469,11,68,229
1400000US06085508204,"Census Tract 5082.04, Santa Clara County, California",4194,1598,56,9,2220,9,140,162
1400000US06085508301,"Census Tract 5083.01, Santa Clara County, California",4410,2521,30,6,1657,4,35,157
1400000US06085508303,"Census Tract 5083.03, Santa Clara County, California",2562,1586,2,7,860,3,23,81
1400000US06085508304,"Census Tract 5083.04, Santa Clara County, California",7957,3047,225,36,3919,19,338,373
1400000US06085508401,"Census Tract 5084.01, Santa Clara County, California",6834,3540,78,11,2661,13,151,380
1400000US06085508403,"Census Tract 5084.03, Santa Clara County, California",2817,1752,20,3,861,2,30,149
1400000US06085508404,"Census Tract 5084.04, Santa Clara County, California",6023,3192,114,14,2202,22,187,292
1400000US06085508503,"Census Tract 5085.03, Santa Clara County, California",6506,2356,101,31,3357,19,416,226
1400000US06085508504,"Census Tract 5085.04, Santa Clara County, California",7701,2049,205,41,4282,27,839,258
1400000US06085508505,"Census Tract 5085.05, Santa Clara County, California",4392,2024,77,15,1931,4,128,213
1400000US06085508507,"Census Tract 5085.07, Santa Clara County, California",3066,786,84,17,1816,13,247,103
1400000US06085508508,"Census Tract 5085.08, Santa Clara County, California",5322,2122,108,27,2175,15,615,260
1400000US06085508601,"Census Tract 5086.01, Santa Clara County, California",3668,2010,34,14,1143,19,265,183
1400000US06085508602,"Census Tract 5086.02, Santa Clara County, California",3839,1990,71,34,1281,6,272,185
1400000US06085508703,"Census Tract 5087.03, Santa Clara County, California",7572,2430,232,44,3888,40,579,359
1400000US06085508704,"Census Tract 5087.04, Santa Clara County, California",5227,1986,82,44,2232,23,631,229
1400000US06085508800,"Census Tract 5088, Santa Clara County, California",3766,1637,82,23,1137,22,702,163
1400000US06085508900,"Census Tract 5089, Santa Clara County, California",5273,1781,112,33,1766,106,1203,272
1400000US06085509000,"Census Tract 5090, Santa Clara County, California",7407,3644,158,46,1616,57,1489,397
1400000US06085509102,"Census Tract 5091.02, Santa Clara County, California",4798,1748,120,14,2492,15,175,234
1400000US06085509105,"Census Tract 5091.05, Santa Clara County, California",6396,3188,186,31,2278,20,366,327
1400000US06085509106,"Census Tract 5091.06, Santa Clara County, California",4171,1853,104,20,1415,11,603,165
