GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085510801,Census Tract 5108.01; Santa Clara County; California,2217
1400000US06085510802,Census Tract 5108.02; Santa Clara County; California,724
1400000US06085510803,Census Tract 5108.03; Santa Clara County; California,1169
1400000US06085510900,Census Tract 5109; Santa Clara County; California,2101
1400000US06085511000,Census Tract 5110; Santa Clara County; California,2558
1400000US06085511100,Census Tract 5111; Santa Clara County; California,1968
1400000US06085511200,Census Tract 5112; Santa Clara County; California,1848
1400000US06085511301,Census Tract 5113.01; Santa Clara County; California,1908
1400000US06085511302,Census Tract 5113.02; Santa Clara County; California,2544
1400000US06085511400,Census Tract 5114; Santa Clara County; California,1450
1400000US06085511501,Census Tract 5115.01; Santa Clara County; California,2283
1400000US06085511502,Census Tract 5115.02; Santa Clara County; California,913
1400000US06085511608,Census Tract 5116.08; Santa Clara County; California,386
1400000US06085511609,Census Tract 5116.09; Santa Clara County; California,2010
1400000US06085511701,Census Tract 5117.01; Santa Clara County; California,1528
1400000US06085511702,Census Tract 5117.02; Santa Clara County; California,1013
1400000US06085511704,Census Tract 5117.04; Santa Clara County; California,1737
1400000US06085511705,Census Tract 5117.05; Santa Clara County; California,607
1400000US06085511707,Census Tract 5117.07; Santa Clara County; California,1265
1400000US06085511800,Census Tract 5118; Santa Clara County; California,1705
1400000US06085511905,Census Tract 5119.05; Santa Clara County; California,1085
1400000US06085511907,Census Tract 5119.07; Santa Clara County; California,1353
1400000US06085511910,Census Tract 5119.10; Santa Clara County; California,1062
1400000US06085511911,Census Tract 5119.11; Santa Clara County; California,1895
1400000US06085511912,Census Tract 5119.12; Santa Clara County; California,1771
1400000US06085511913,Census Tract 5119.13; Santa Clara County; California,1447
1400000US06085511914,Census Tract 5119.14; Santa Clara County; California,1978
1400000US06085511915,Census Tract 5119.15; Santa Clara County; California,1279
1400000US06085511916,Census Tract 5119.16; Santa Clara County; California,1683
1400000US06085511917,Census Tract 5119.17; Santa Clara County; California,1698
1400000US06085511918,Census Tract 5119.18; Santa Clara County; California,1125
1400000US06085512001,Census Tract 5120.01; Santa Clara County; California,2083
1400000US06085512005,Census Tract 5120.05; Santa Clara County; California,2224
1400000US06085512019,Census Tract 5120.19; Santa Clara County; California,1574
1400000US06085512021,Census Tract 5120.21; Santa Clara County; California,2065
1400000US06085512022,Census Tract 5120.22; Santa Clara County; California,1943
1400000US06085512023,Census Tract 5120.23; Santa Clara County; California,1980
1400000US06085512024,Census Tract 5120.24; Santa Clara County; California,1843
1400000US06085512025,Census Tract 5120.25; Santa Clara County; California,1083
1400000US06085512026,Census Tract 5120.26; Santa Clara County; California,1357
1400000US06085512027,Census Tract 5120.27; Santa Clara County; California,1710
1400000US06085512029,Census Tract 5120.29; Santa Clara County; California,2309
1400000US06085512030,Census Tract 5120.30; Santa Clara County; California,983
1400000US06085512031,Census Tract 5120.31; Santa Clara County; California,1400
1400000US06085512032,Census Tract 5120.32; Santa Clara County; California,1185
1400000US06085512034,Census Tract 5120.34; Santa Clara County; California,1049
1400000US06085512035,Census Tract 5120.35; Santa Clara County; California,1385
1400000US06085512036,Census Tract 5120.36; Santa Clara County; California,1911
1400000US06085512037,Census Tract 5120.37; Santa Clara County; California,985
1400000US06085512038,Census Tract 5120.38; Santa Clara County; California,1093
1400000US06085512039,Census Tract 5120.39; Santa Clara County; California,1460
1400000US06085512042,Census Tract 5120.42; Santa Clara County; California,871
1400000US06085512043,Census Tract 5120.43; Santa Clara County; California,1633
1400000US06085512045,Census Tract 5120.45; Santa Clara County; California,1845
1400000US06085512047,Census Tract 5120.47; Santa Clara County; California,1736
1400000US06085512052,Census Tract 5120.52; Santa Clara County; California,1802
1400000US06085512053,Census Tract 5120.53; Santa Clara County; California,1570
1400000US06085512054,Census Tract 5120.54; Santa Clara County; California,1854
1400000US06085512055,Census Tract 5120.55; Santa Clara County; California,966
1400000US06085512056,Census Tract 5120.56; Santa Clara County; California,1126
