"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"1400000US06085512033","Census Tract 5120.33, Santa Clara County, California","6125",
"1400000US06085512034","Census Tract 5120.34, Santa Clara County, California","3101",
"1400000US06085512035","Census Tract 5120.35, Santa Clara County, California","4172",
"1400000US06085512036","Census Tract 5120.36, Santa Clara County, California","4585",
"1400000US06085512037","Census Tract 5120.37, Santa Clara County, California","3214",
"1400000US06085512038","Census Tract 5120.38, Santa Clara County, California","2847",
"1400000US06085512039","Census Tract 5120.39, Santa Clara County, California","4784",
"1400000US06085512042","Census Tract 5120.42, Santa Clara County, California","2841",
"1400000US06085512043","Census Tract 5120.43, Santa Clara County, California","6129",
"1400000US06085512045","Census Tract 5120.45, Santa Clara County, California","5602",
"1400000US06085512047","Census Tract 5120.47, Santa Clara County, California","5461",
"1400000US06085512052","Census Tract 5120.52, Santa Clara County, California","3988",
"1400000US06085512053","Census Tract 5120.53, Santa Clara County, California","4534",
"1400000US06085512100","Census Tract 5121, Santa Clara County, California","1666",
"1400000US06085512200","Census Tract 5122, Santa Clara County, California","4014",
"1400000US06085512305","Census Tract 5123.05, Santa Clara County, California","3936",
"1400000US06085512307","Census Tract 5123.07, Santa Clara County, California","6344",
"1400000US06085512308","Census Tract 5123.08, Santa Clara County, California","7006",
"1400000US06085512309","Census Tract 5123.09, Santa Clara County, California","4996",
"1400000US06085512310","Census Tract 5123.10, Santa Clara County, California","3791",
"1400000US06085512311","Census Tract 5123.11, Santa Clara County, California","3314",
"1400000US06085512312","Census Tract 5123.12, Santa Clara County, California","2899",
"1400000US06085512313","Census Tract 5123.13, Santa Clara County, California","3887",
"1400000US06085512314","Census Tract 5123.14, Santa Clara County, California","5932",
"1400000US06085512401","Census Tract 5124.01, Santa Clara County, California","4782",
"1400000US06085512402","Census Tract 5124.02, Santa Clara County, California","5167",
"1400000US06085512503","Census Tract 5125.03, Santa Clara County, California","7726",
"1400000US06085512505","Census Tract 5125.05, Santa Clara County, California","7295",
"1400000US06085512506","Census Tract 5125.06, Santa Clara County, California","6686",
"1400000US06085512508","Census Tract 5125.08, Santa Clara County, California","7955",
"1400000US06085512509","Census Tract 5125.09, Santa Clara County, California","4111",
"1400000US06085512510","Census Tract 5125.10, Santa Clara County, California","6194",
"1400000US06085512602","Census Tract 5126.02, Santa Clara County, California","2997",
"1400000US06085512603","Census Tract 5126.03, Santa Clara County, California","3954",
"1400000US06085512604","Census Tract 5126.04, Santa Clara County, California","4505",
"1400000US06085513000","Census Tract 5130, Santa Clara County, California","8215",
"1400000US06085513500","Census Tract 5135, Santa Clara County, California","1144",
